ω,,,,,,,,,
=2*PI()*366.25/365.25,,,,,,,,,
n,θ,b,t0,t1,t2,t3,=A3,tn',tn
52,0.920914691294176,=(B57-B55)/2,=G55+1,=D56-($A$2*D56-2*$A56*PI()-$C56*(D56-$A56)-$B56)/($A$2-$C56),=E56-($A$2*E56-2*$A56*PI()-$C56*(E56-$A56)-$B56)/($A$2-$C56),=F56-($A$2*F56-2*$A56*PI()-$C56*(F56-$A56)-$B56)/($A$2-$C56),=A56,=J56-H56,=G56
53,0.938469776411863,=(B58-B56)/2,=G56+1,=D57-($A$2*D57-2*$A57*PI()-$C57*(D57-$A57)-$B57)/($A$2-$C57),=E57-($A$2*E57-2*$A57*PI()-$C57*(E57-$A57)-$B57)/($A$2-$C57),=F57-($A$2*F57-2*$A57*PI()-$C57*(F57-$A57)-$B57)/($A$2-$C57),=A57,=J57-H57,=G57
54,0.95601664426744,=(B59-B57)/2,=G57+1,=D58-($A$2*D58-2*$A58*PI()-$C58*(D58-$A58)-$B58)/($A$2-$C58),=E58-($A$2*E58-2*$A58*PI()-$C58*(E58-$A58)-$B58)/($A$2-$C58),=F58-($A$2*F58-2*$A58*PI()-$C58*(F58-$A58)-$B58)/($A$2-$C58),=A58,=J58-H58,=G58
55,0.973555196365714,=(B60-B58)/2,=G58+1,=D59-($A$2*D59-2*$A59*PI()-$C59*(D59-$A59)-$B59)/($A$2-$C59),=E59-($A$2*E59-2*$A59*PI()-$C59*(E59-$A59)-$B59)/($A$2-$C59),=F59-($A$2*F59-2*$A59*PI()-$C59*(F59-$A59)-$B59)/($A$2-$C59),=A59,=J59-H59,=G59
56,0.991085337033454,=(B61-B59)/2,=G59+1,=D60-($A$2*D60-2*$A60*PI()-$C60*(D60-$A60)-$B60)/($A$2-$C60),=E60-($A$2*E60-2*$A60*PI()-$C60*(E60-$A60)-$B60)/($A$2-$C60),=F60-($A$2*F60-2*$A60*PI()-$C60*(F60-$A60)-$B60)/($A$2-$C60),=A60,=J60-H60,=G60
57,1.00860697344227,=(B62-B60)/2,=G60+1,=D61-($A$2*D61-2*$A61*PI()-$C61*(D61-$A61)-$B61)/($A$2-$C61),=E61-($A$2*E61-2*$A61*PI()-$C61*(E61-$A61)-$B61)/($A$2-$C61),=F61-($A$2*F61-2*$A61*PI()-$C61*(F61-$A61)-$B61)/($A$2-$C61),=A61,=J61-H61,=G61
58,1.02612001563023,=(B63-B61)/2,=G61+1,=D62-($A$2*D62-2*$A62*PI()-$C62*(D62-$A62)-$B62)/($A$2-$C62),=E62-($A$2*E62-2*$A62*PI()-$C62*(E62-$A62)-$B62)/($A$2-$C62),=F62-($A$2*F62-2*$A62*PI()-$C62*(F62-$A62)-$B62)/($A$2-$C62),=A62,=J62-H62,=G62
59,1.04362437652221,=(B64-B62)/2,=G62+1,=D63-($A$2*D63-2*$A63*PI()-$C63*(D63-$A63)-$B63)/($A$2-$C63),=E63-($A$2*E63-2*$A63*PI()-$C63*(E63-$A63)-$B63)/($A$2-$C63),=F63-($A$2*F63-2*$A63*PI()-$C63*(F63-$A63)-$B63)/($A$2-$C63),=A63,=J63-H63,=G63
60,1.06111997194897,=(B65-B63)/2,=G63+1,=D64-($A$2*D64-2*$A64*PI()-$C64*(D64-$A64)-$B64)/($A$2-$C64),=E64-($A$2*E64-2*$A64*PI()-$C64*(E64-$A64)-$B64)/($A$2-$C64),=F64-($A$2*F64-2*$A64*PI()-$C64*(F64-$A64)-$B64)/($A$2-$C64),=A64,=J64-H64,=G64
61,1.07860672066494,=(B66-B64)/2,=G64+1,=D65-($A$2*D65-2*$A65*PI()-$C65*(D65-$A65)-$B65)/($A$2-$C65),=E65-($A$2*E65-2*$A65*PI()-$C65*(E65-$A65)-$B65)/($A$2-$C65),=F65-($A$2*F65-2*$A65*PI()-$C65*(F65-$A65)-$B65)/($A$2-$C65),=A65,=J65-H65,=G65
62,1.09608454436486,=(B67-B65)/2,=G65+1,=D66-($A$2*D66-2*$A66*PI()-$C66*(D66-$A66)-$B66)/($A$2-$C66),=E66-($A$2*E66-2*$A66*PI()-$C66*(E66-$A66)-$B66)/($A$2-$C66),=F66-($A$2*F66-2*$A66*PI()-$C66*(F66-$A66)-$B66)/($A$2-$C66),=A66,=J66-H66,=G66
63,1.113553367699,=(B68-B66)/2,=G66+1,=D67-($A$2*D67-2*$A67*PI()-$C67*(D67-$A67)-$B67)/($A$2-$C67),=E67-($A$2*E67-2*$A67*PI()-$C67*(E67-$A67)-$B67)/($A$2-$C67),=F67-($A$2*F67-2*$A67*PI()-$C67*(F67-$A67)-$B67)/($A$2-$C67),=A67,=J67-H67,=G67
64,1.13101311828731,=(B69-B67)/2,=G67+1,=D68-($A$2*D68-2*$A68*PI()-$C68*(D68-$A68)-$B68)/($A$2-$C68),=E68-($A$2*E68-2*$A68*PI()-$C68*(E68-$A68)-$B68)/($A$2-$C68),=F68-($A$2*F68-2*$A68*PI()-$C68*(F68-$A68)-$B68)/($A$2-$C68),=A68,=J68-H68,=G68
65,1.14846372673222,=(B70-B68)/2,=G68+1,=D69-($A$2*D69-2*$A69*PI()-$C69*(D69-$A69)-$B69)/($A$2-$C69),=E69-($A$2*E69-2*$A69*PI()-$C69*(E69-$A69)-$B69)/($A$2-$C69),=F69-($A$2*F69-2*$A69*PI()-$C69*(F69-$A69)-$B69)/($A$2-$C69),=A69,=J69-H69,=G69
66,1.16590512663029,=(B71-B69)/2,=G69+1,=D70-($A$2*D70-2*$A70*PI()-$C70*(D70-$A70)-$B70)/($A$2-$C70),=E70-($A$2*E70-2*$A70*PI()-$C70*(E70-$A70)-$B70)/($A$2-$C70),=F70-($A$2*F70-2*$A70*PI()-$C70*(F70-$A70)-$B70)/($A$2-$C70),=A70,=J70-H70,=G70
67,1.18333725458257,=(B72-B70)/2,=G70+1,=D71-($A$2*D71-2*$A71*PI()-$C71*(D71-$A71)-$B71)/($A$2-$C71),=E71-($A$2*E71-2*$A71*PI()-$C71*(E71-$A71)-$B71)/($A$2-$C71),=F71-($A$2*F71-2*$A71*PI()-$C71*(F71-$A71)-$B71)/($A$2-$C71),=A71,=J71-H71,=G71
68,1.20076005020384,=(B73-B71)/2,=G71+1,=D72-($A$2*D72-2*$A72*PI()-$C72*(D72-$A72)-$B72)/($A$2-$C72),=E72-($A$2*E72-2*$A72*PI()-$C72*(E72-$A72)-$B72)/($A$2-$C72),=F72-($A$2*F72-2*$A72*PI()-$C72*(F72-$A72)-$B72)/($A$2-$C72),=A72,=J72-H72,=G72
69,1.21817345613061,=(B74-B72)/2,=G72+1,=D73-($A$2*D73-2*$A73*PI()-$C73*(D73-$A73)-$B73)/($A$2-$C73),=E73-($A$2*E73-2*$A73*PI()-$C73*(E73-$A73)-$B73)/($A$2-$C73),=F73-($A$2*F73-2*$A73*PI()-$C73*(F73-$A73)-$B73)/($A$2-$C73),=A73,=J73-H73,=G73
70,1.23557741802793,=(B75-B73)/2,=G73+1,=D74-($A$2*D74-2*$A74*PI()-$C74*(D74-$A74)-$B74)/($A$2-$C74),=E74-($A$2*E74-2*$A74*PI()-$C74*(E74-$A74)-$B74)/($A$2-$C74),=F74-($A$2*F74-2*$A74*PI()-$C74*(F74-$A74)-$B74)/($A$2-$C74),=A74,=J74-H74,=G74
71,1.25297188459507,=(B76-B74)/2,=G74+1,=D75-($A$2*D75-2*$A75*PI()-$C75*(D75-$A75)-$B75)/($A$2-$C75),=E75-($A$2*E75-2*$A75*PI()-$C75*(E75-$A75)-$B75)/($A$2-$C75),=F75-($A$2*F75-2*$A75*PI()-$C75*(F75-$A75)-$B75)/($A$2-$C75),=A75,=J75-H75,=G75
